fecha_utc,hora_utc,fecha_local,hora_local,tipo_evento,descripcion,elevacion,azimut,planeta1,planeta2,posicion1,posicion2,tipo_aspecto,orbe,es_aplicativo,harmony,signo,grado,posicion
2025-01-01,10:49,2025-01-01,07:49,Ingreso a Signo,Luna ingresa a 0.00° de Acuario (Directo),,,,,,,,,,,,,
2025-01-03,03:24,2025-01-03,00:24,Ingreso a Signo,Venus ingresa a 0.00° de Piscis (Directo),,,,,,,,,,,,,
2025-01-03,07:21,2025-01-03,04:21,Aspecto,Marte en Oposición con Plutón,,,Marte,Plutón,1°08' Leo,1°08' Acuario,Oposición,0.00°,No,Tensión,,,
2025-01-03,15:21,2025-01-03,12:21,Ingreso a Signo,Luna ingresa a 0.00° de Piscis (Directo),,,,,,,,,,,,,
2025-01-04,22:35,2025-01-04,19:35,Aspecto,Sol en Sextil con Saturno,,,Sol,Saturno,14°49' Capricornio,14°49' Piscis,Sextil,0.00°,No,Armónico,,,
2025-01-05,19:00,2025-01-05,16:00,Ingreso a Signo,Luna ingresa a 0.00° de Aries (Directo),,,,,,,,,,,,,
2025-01-06,10:44,2025-01-06,07:44,Ingreso a Signo,Marte deja a 29.99° de Leo (Retrógrado),,,,,,,,,,,,,
2025-01-06,13:55,2025-01-06,10:55,Aspecto,Mercurio en Cuadratura con Neptuno,,,Mercurio,Neptuno,27°22' Sagitario,27°22' Piscis,Cuadratura,0.00°,No,Tensión,,,
2025-01-07,22:11,2025-01-07,19:11,Ingreso a Signo,Luna ingresa a 0.00° de Tauro (Directo),,,,,,,,,,,,,
2025-01-08,10:29,2025-01-08,07:29,Ingreso a Signo,Mercurio ingresa a 0.00° de Capricornio (Directo),,,,,,,,,,,,,
2025-01-10,01:06,2025-01-09,22:06,Ingreso a Signo,Luna ingresa a 0.00° de Géminis (Directo),,,,,,,,,,,,,
2025-01-12,00:00,2025-01-11,21:00,Ingreso a Signo,Nodo Norte ingresa a 0° de Piscis (Directo),,,,,,,,,,,,,
2025-01-12,04:24,2025-01-12,01:24,Ingreso a Signo,Luna ingresa a 0.00° de Cáncer (Directo),,,,,,,,,,,,,
2025-01-12,21:15,2025-01-12,18:15,Aspecto,Marte en Trígono con Neptuno,,,Marte,Neptuno,27°29' Cáncer,27°29' Piscis,Trígono,0.00°,No,Armónico,,,
2025-01-13,08:13,2025-01-13,05:13,Aspecto,Sol en Trígono con Urano,,,Sol,Urano,23°23' Capricornio,23°23' Tauro,Trígono,0.00°,No,Armónico,,,
2025-01-13,22:26,2025-01-13,19:26,Luna Llena,Luna llena en Cáncer 24.00°,-11.4°,65.7°,,,,,,,,,Cáncer,24.00°,23°59' Cáncer
2025-01-14,09:12,2025-01-14,06:12,Ingreso a Signo,Luna ingresa a 0.00° de Leo (Directo),,,,,,,,,,,,,
2025-01-14,19:47,2025-01-14,16:47,Aspecto,Venus en Cuadratura con Júpiter,,,Venus,Júpiter,11°59' Piscis,11°59' Géminis,Cuadratura,0.00°,No,Tensión,,,
2025-01-16,02:38,2025-01-15,23:38,Aspecto,Sol en Oposición con Marte,,,Sol,Marte,26°12' Capricornio,26°12' Cáncer,Oposición,0.00°,No,Tensión,,,
2025-01-16,16:45,2025-01-16,13:45,Ingreso a Signo,Luna ingresa a 0.00° de Virgo (Directo),,,,,,,,,,,,,
2025-01-17,11:19,2025-01-17,08:19,Aspecto,Sol en Sextil con Neptuno,,,Sol,Neptuno,27°35' Capricornio,27°35' Piscis,Sextil,0.00°,No,Armónico,,,
2025-01-19,01:26,2025-01-18,22:26,Aspecto,Venus en Conjunción con Saturno,,,Venus,Saturno,16°05' Piscis,16°05' Piscis,Conjunción,0.00°,No,Neutro,,,
2025-01-19,03:32,2025-01-19,00:32,Ingreso a Signo,Luna ingresa a 0.00° de Libra (Directo),,,,,,,,,,,,,
2025-01-19,07:38,2025-01-19,04:38,Aspecto,Mercurio en Sextil con Saturno,,,Mercurio,Saturno,16°06' Capricornio,16°06' Piscis,Sextil,0.00°,No,Armónico,,,
2025-01-19,16:31,2025-01-19,13:31,Aspecto,Mercurio en Sextil con Venus,,,Mercurio,Venus,16°41' Capricornio,16°41' Piscis,Sextil,0.00°,No,Armónico,,,
2025-01-19,20:00,2025-01-19,17:00,Ingreso a Signo,Sol ingresa a 0.00° de Acuario (Directo),,,,,,,,,,,,,
2025-01-21,12:28,2025-01-21,09:28,Aspecto,Sol en Conjunción con Plutón,,,Sol,Plutón,1°42' Acuario,1°42' Acuario,Conjunción,0.00°,No,Neutro,,,
2025-01-21,16:20,2025-01-21,13:20,Ingreso a Signo,Luna ingresa a 0.00° de Escorpio (Directo),,,,,,,,,,,,,
2025-01-23,15:07,2025-01-23,12:07,Aspecto,Marte en Sextil con Urano,,,Marte,Urano,23°16' Cáncer,23°16' Tauro,Sextil,0.00°,No,Armónico,,,
2025-01-23,20:48,2025-01-23,17:48,Aspecto,Mercurio en Oposición con Marte,,,Mercurio,Marte,23°11' Capricornio,23°11' Cáncer,Oposición,0.00°,No,Tensión,,,
2025-01-23,22:07,2025-01-23,19:07,Aspecto,Mercurio en Trígono con Urano,,,Mercurio,Urano,23°16' Capricornio,23°16' Tauro,Trígono,0.00°,No,Armónico,,,
2025-01-24,04:28,2025-01-24,01:28,Ingreso a Signo,Luna ingresa a 0.00° de Sagitario (Directo),,,,,,,,,,,,,
2025-01-25,23:53,2025-01-25,20:53,Aspecto,Venus en Trígono con Marte,,,Venus,Marte,22°25' Piscis,22°25' Cáncer,Trígono,0.00°,No,Armónico,,,
2025-01-26,13:42,2025-01-26,10:42,Ingreso a Signo,Luna ingresa a 0.00° de Capricornio (Directo),,,,,,,,,,,,,
2025-01-26,18:32,2025-01-26,15:32,Aspecto,Mercurio en Sextil con Neptuno,,,Mercurio,Neptuno,27°49' Capricornio,27°49' Piscis,Sextil,0.00°,No,Armónico,,,
2025-01-26,23:11,2025-01-26,20:11,Aspecto,Venus en Sextil con Urano,,,Venus,Urano,23°16' Piscis,23°16' Tauro,Sextil,0.00°,No,Armónico,,,
2025-01-28,02:52,2025-01-27,23:52,Ingreso a Signo,Mercurio ingresa a 0.00° de Acuario (Directo),,,,,,,,,,,,,
2025-01-28,19:31,2025-01-28,16:31,Ingreso a Signo,Luna ingresa a 0.00° de Acuario (Directo),,,,,,,,,,,,,
2025-01-29,07:52,2025-01-29,04:52,Aspecto,Mercurio en Conjunción con Plutón,,,Mercurio,Plutón,1°58' Acuario,1°58' Acuario,Conjunción,0.00°,No,Neutro,,,
2025-01-29,12:35,2025-01-29,09:35,Luna Nueva,Luna nueva en Acuario 9.86°,40.4°,84.3°,,,,,,,,,Acuario,9.86°,9°51' Acuario
2025-01-30,15:52,2025-01-30,12:52,Fin Retrogradación,Urano termina retrogradación en 23°15' Tauro,,,,,,,,,,,,,
2025-01-30,22:52,2025-01-30,19:52,Ingreso a Signo,Luna ingresa a 0.00° de Piscis (Directo),,,,,,,,,,,,,
2025-01-30,22:59,2025-01-30,19:59,Aspecto,Sol en Trígono con Júpiter,,,Sol,Júpiter,11°18' Acuario,11°18' Géminis,Trígono,0.00°,No,Armónico,,,
2025-02-01,16:33,2025-02-01,13:33,Aspecto,Venus en Conjunción con Neptuno,,,Venus,Neptuno,27°59' Piscis,27°59' Piscis,Conjunción,0.00°,No,Neutro,,,
2025-02-02,01:09,2025-02-01,22:09,Ingreso a Signo,Luna ingresa a 0.00° de Aries (Directo),,,,,,,,,,,,,
2025-02-03,21:51,2025-02-03,18:51,Aspecto,Mercurio en Trígono con Júpiter,,,Mercurio,Júpiter,11°16' Acuario,11°16' Géminis,Trígono,0.00°,No,Armónico,,,
2025-02-04,03:33,2025-02-04,00:33,Ingreso a Signo,Luna ingresa a 0.00° de Tauro (Directo),,,,,,,,,,,,,
2025-02-04,07:56,2025-02-04,04:56,Ingreso a Signo,Venus ingresa a 0.00° de Aries (Directo),,,,,,,,,,,,,
2025-02-04,09:30,2025-02-04,06:30,Fin Retrogradación,Júpiter termina retrogradación en 11°16' Géminis,,,,,,,,,,,,,
2025-02-06,06:43,2025-02-06,03:43,Ingreso a Signo,Luna ingresa a 0.00° de Géminis (Directo),,,,,,,,,,,,,
2025-02-07,12:14,2025-02-07,09:14,Aspecto,Venus en Sextil con Plutón,,,Venus,Plutón,2°15' Aries,2°15' Acuario,Sextil,0.00°,No,Armónico,,,
2025-02-08,11:04,2025-02-08,08:04,Ingreso a Signo,Luna ingresa a 0.00° de Cáncer (Directo),,,,,,,,,,,,,
2025-02-09,12:08,2025-02-09,09:08,Aspecto,Sol en Conjunción con Mercurio,,,Sol,Mercurio,20°59' Acuario,20°59' Acuario,Conjunción,0.00°,No,Neutro,,,
2025-02-09,13:14,2025-02-09,10:14,Aspecto,Marte en Trígono con Saturno,,,Marte,Saturno,18°22' Cáncer,18°22' Piscis,Trígono,0.00°,No,Armónico,,,
2025-02-10,17:00,2025-02-10,14:00,Ingreso a Signo,Luna ingresa a 0.00° de Leo (Directo),,,,,,,,,,,,,
2025-02-10,19:27,2025-02-10,16:27,Aspecto,Mercurio en Cuadratura con Urano,,,Mercurio,Urano,23°18' Acuario,23°18' Tauro,Cuadratura,0.00°,No,Tensión,,,
2025-02-11,19:30,2025-02-11,16:30,Aspecto,Sol en Cuadratura con Urano,,,Sol,Urano,23°19' Acuario,23°19' Tauro,Cuadratura,0.00°,No,Tensión,,,
2025-02-12,13:53,2025-02-12,10:53,Luna Llena,Luna llena en Leo 24.10°,-54.5°,248.1°,,,,,,,,,Leo,24.10°,24°06' Leo
2025-02-13,01:07,2025-02-12,22:07,Ingreso a Signo,Luna ingresa a 0.00° de Virgo (Directo),,,,,,,,,,,,,
2025-02-14,12:06,2025-02-14,09:06,Ingreso a Signo,Mercurio ingresa a 0.00° de Piscis (Directo),,,,,,,,,,,,,
2025-02-15,11:44,2025-02-15,08:44,Ingreso a Signo,Luna ingresa a 0.00° de Libra (Directo),,,,,,,,,,,,,
2025-02-18,00:18,2025-02-17,21:18,Ingreso a Signo,Luna ingresa a 0.00° de Escorpio (Directo),,,,,,,,,,,,,
2025-02-18,10:06,2025-02-18,07:06,Ingreso a Signo,Sol ingresa a 0.00° de Piscis (Directo),,,,,,,,,,,,,
2025-02-20,12:54,2025-02-20,09:54,Ingreso a Signo,Luna ingresa a 0.00° de Sagitario (Directo),,,,,,,,,,,,,
2025-02-20,20:13,2025-02-20,17:13,Aspecto,Mercurio en Cuadratura con Júpiter,,,Mercurio,Júpiter,11°43' Piscis,11°43' Géminis,Cuadratura,0.00°,No,Tensión,,,
2025-02-22,23:08,2025-02-22,20:08,Ingreso a Signo,Luna ingresa a 0.00° de Capricornio (Directo),,,,,,,,,,,,,
2025-02-23,16:58,2025-02-23,13:58,Aspecto,Mercurio en Trígono con Marte,,,Mercurio,Marte,17°00' Piscis,17°00' Cáncer,Trígono,0.00°,No,Armónico,,,
2025-02-24,01:30,2025-02-23,22:30,Fin Retrogradación,Marte termina retrogradación en 17°00' Cáncer,,,,,,,,,,,,,
2025-02-25,05:39,2025-02-25,02:39,Ingreso a Signo,Luna ingresa a 0.00° de Acuario (Directo),,,,,,,,,,,,,
2025-02-25,12:02,2025-02-25,09:02,Aspecto,Mercurio en Conjunción con Saturno,,,Mercurio,Saturno,20°15' Piscis,20°15' Piscis,Conjunción,0.00°,No,Neutro,,,
2025-02-27,08:46,2025-02-27,05:46,Ingreso a Signo,Luna ingresa a 0.00° de Piscis (Directo),,,,,,,,,,,,,
2025-02-27,09:37,2025-02-27,06:37,Aspecto,Mercurio en Sextil con Urano,,,Mercurio,Urano,23°35' Piscis,23°35' Tauro,Sextil,0.00°,No,Armónico,,,
2025-02-28,00:44,2025-02-27,21:44,Luna Nueva,Luna nueva en Piscis 9.68°,-26.2°,238.2°,,,,,,,,,Piscis,9.68°,9°40' Piscis
2025-03-01,09:51,2025-03-01,06:51,Ingreso a Signo,Luna ingresa a 0.00° de Aries (Directo),,,,,,,,,,,,,
2025-03-02,00:06,2025-03-01,21:06,Inicio Retrogradación,Venus inicia retrogradación en 10°50' Aries,,,,,,,,,,,,,
2025-03-02,16:21,2025-03-02,13:21,Aspecto,Mercurio en Conjunción con Neptuno,,,Mercurio,Neptuno,28°57' Piscis,28°57' Piscis,Conjunción,0.00°,No,Neutro,,,
2025-03-02,18:18,2025-03-02,15:18,Aspecto,Sol en Cuadratura con Júpiter,,,Sol,Júpiter,12°25' Piscis,12°25' Géminis,Cuadratura,0.00°,No,Tensión,,,
2025-03-03,09:03,2025-03-03,06:03,Ingreso a Signo,Mercurio ingresa a 0.00° de Aries (Directo),,,,,,,,,,,,,
2025-03-03,10:36,2025-03-03,07:36,Ingreso a Signo,Luna ingresa a 0.00° de Tauro (Directo),,,,,,,,,,,,,
